albumID,Name,artistID,AlbumArt,ReleaseYear
1,Pa Las Baby's Y Belikeada,1,https://upload.wikimedia.org/wikipedia/en/7/73/Pa_Las_Baby%27s_Y_Belikeada.jpg,2023
2,2014 Forest Hills Drive,2,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/2014ForestHillsDrive.jpg/220px-2014ForestHillsDrive.jpg,2014
3,Don't Stop The Magic,3,https://t2.genius.com/unsafe/300x300/https%3A%2F%2Fimages.genius.com%2F7c91fe6f0fae42a1ef55400e1f1a4eb4.1000x1000x1.png,2023
4,Spreading Rumours,4,https://upload.wikimedia.org/wikipedia/en/c/c2/Spreading_Rumours_Album_Art.jpg,2023
